"id";"titulo";"autor";"ano";"genero"
1;"Memórias Postumas de Brás Cubas";"Joaquim Maria Machado de Assis";1881;"Narrativo"
2;"Guerra e Paz";"Liev Tolstói";1869;"Narrativo"
3;"O Idiota";"Fyodor Dostoiévsky";1869;"Narrativo"
4;"A morte de Ivan Ilitch";"Liev Tolstói";1886;"Narrativo"
5;"Crime e Castigo";"Fyodor Dostoiévsky";1866;"Narrativo"
6;"Noites Brancas";"Fyodor Dostoiévsky";1848;"Narrativo"
7;"Ana Karênia";"Liev Tolstói";1877;"Narrativo"
8;"Os Irmãos Karamazov";"Fyodor Dostoiévsky";1880;"Narrativo"
9;"Sonata e Kreutzer";"Liev Tolstói";1889;"Narrativo"
10;"A Metamorfose";"Franz Kafka";1915;"Narrativo"
