id,id_produto,id_fornecedor,data,quantidade,custo_unitario,total
1,1,1,01/08/2026,50,100,5000
2,3,3,01/08/2026,10,25,250
3,4,3,01/08/2026,5,20,100
4,5,3,01/08/2026,10,20,200
5,6,3,01/08/2026,5,15,75
6,7,3,01/08/2026,5,15,75
7,8,2,01/08/2026,10,2,20
8,11,2,01/08/2026,2,10,20
9,12,2,01/08/2026,2,12,24
10,13,2,01/08/2026,2,15,30
11,9,4,01/08/2026,5,15,75
12,10,4,01/08/2026,2,50,100
13,14,4,01/08/2026,2,8,16
14,15,4,01/08/2026,10,40,400
15,1,1,11/08/2026,50,110,5500
16,3,3,11/08/2026,10,26,260
17,4,3,11/08/2026,5,21,105
18,5,3,11/08/2026,10,21,210
19,6,3,11/08/2026,5,16,80
20,7,3,11/08/2026,5,16,80
21,8,2,11/08/2026,10,2.5,25
22,11,2,11/08/2026,2,10,20
23,12,2,11/08/2026,2,12,24
24,13,2,11/08/2026,2,15,30
25,9,4,11/08/2026,5,15,75
26,10,4,11/08/2026,2,50,100
27,14,4,11/08/2026,2,12,24
28,15,4,11/08/2026,10,35,350
